Employee ID,Name,Phone Number,Address,Date of Birth,Join Date,Login Time,Logout Time,Break Time,Leave (Company),Leave (Own),Attendance Track,Productivity %,Salary,Bonus
EMP0001,Marigold Gladtbach,61-132-7382,"789 Maple St, Capital City",13-02-1971,18-10-2022,10:05,17:06,02:34,0,Half Day,28/30,78.31,84867,2941
EMP0002,Arv Summergill,13-932-8996,"202 Cedar St, North Haverbrook",07-05-1976,16-08-2017,10:18,20:14,00:17,2,Full Day,24/30,79.57,46865,3499
EMP0003,Jillana Kopta,68-836-9315,"123 Elm St, Springfield",11-02-1997,23-10-2008,10:21,17:47,01:22,4,Full Day,30/30,80.45,85866,4080
EMP0004,Damien Bolger,63-583-2978,"202 Cedar St, North Haverbrook",26-05-1998,07-09-2014,08:00,18:15,00:28,1,None,25/30,50.12,50553,2479
EMP0005,Veriee Dimbleby,75-330-9834,"202 Cedar St, North Haverbrook",11-05-1994,25-02-2010,10:15,18:26,00:28,1,Full Day,24/30,62.92,74392,2968
EMP0006,Jean Ballsdon,29-480-0515,"123 Elm St, Springfield",20-03-2000,26-08-2020,09:22,20:42,00:32,5,Full Day,25/30,86.96,43661,1475
EMP0007,Sidonnie Archer,72-218-9662,"123 Elm St, Springfield",18-11-1988,04-10-2012,10:56,19:54,00:39,1,Half Day,17/30,79.27,82865,2355
EMP0008,Joannes Rodway,64-049-5032,"202 Cedar St, North Haverbrook",27-04-1977,26-07-2016,07:24,17:10,02:52,0,Full Day,23/30,87.44,91560,1194
EMP0009,Sunny Delafoy,77-521-2371,"101 Pine St, Ogdenville",28-06-1981,30-12-2009,09:10,18:49,01:24,2,Full Day,16/30,65.86,77548,3865
EMP0010,Starla Rain,88-769-2336,"202 Cedar St, North Haverbrook",01-01-1983,30-07-2016,08:35,19:27,00:15,1,Half Day,28/30,67.27,47202,1601
EMP0011,Nickolas Bloss,64-920-1535,"123 Elm St, Springfield",30-03-1980,18-11-2012,09:39,20:13,02:32,4,Full Day,29/30,60.77,84672,3274
EMP0012,Eloise Hyde-Chambers,87-460-6762,"101 Pine St, Ogdenville",28-02-1971,31-05-2020,08:49,19:04,01:50,1,None,15/30,66.27,55665,2821
EMP0013,Merill Youngman,12-330-9555,"456 Oak St, Shelbyville",23-05-1977,12-05-2006,08:25,18:34,00:14,1,Full Day,18/30,53.18,83044,2033
EMP0014,Matelda Curm,79-577-8650,"202 Cedar St, North Haverbrook",09-08-1977,12-05-2014,07:46,18:47,02:16,5,Full Day,26/30,65.06,84658,1056
EMP0015,Benedikt Gariff,11-333-0441,"123 Elm St, Springfield",22-02-1983,11-01-2013,09:49,18:26,00:23,5,Half Day,15/30,97.99,62328,4401
EMP0016,Sal Rudyard,42-855-3991,"101 Pine St, Ogdenville",18-08-1976,30-08-2010,10:21,20:41,02:09,4,None,25/30,99.46,85871,2860
EMP0017,Crosby Gencke,59-311-9063,"101 Pine St, Ogdenville",08-12-1982,21-07-2017,08:40,17:40,02:13,5,Half Day,30/30,56.88,89259,1210
EMP0018,Joni Durden,84-218-7455,"123 Elm St, Springfield",18-09-1986,23-06-2014,08:28,17:56,00:56,5,None,19/30,64.49,88649,1206
EMP0019,Jim Sinclaire,76-347-7489,"123 Elm St, Springfield",31-08-1984,03-07-2018,08:55,19:38,00:01,0,Full Day,28/30,75.96,75002,1430
EMP0020,Bobbee Baack,56-436-1008,"789 Maple St, Capital City",29-10-1999,14-11-2016,09:33,16:16,00:15,0,None,15/30,90.55,91470,2299
EMP0021,Winnie Snowdon,39-730-0489,"789 Maple St, Capital City",07-11-1993,11-04-2016,09:17,16:46,00:57,5,Full Day,21/30,54.81,73309,1104
EMP0022,Sax Vicarey,52-467-9057,"123 Elm St, Springfield",22-09-1994,18-04-2013,09:32,19:25,00:01,0,None,24/30,92.27,54197,4096
EMP0023,Niel Bruton,23-668-8488,"456 Oak St, Shelbyville",28-08-1991,17-12-2011,08:43,19:17,01:11,2,None,23/30,98.62,54254,1297
EMP0024,Syman Brundall,63-708-6271,"789 Maple St, Capital City",06-11-1992,01-01-2017,07:53,16:56,01:52,2,None,29/30,60.51,59484,4326
EMP0025,Leonelle Holsall,93-426-1382,"789 Maple St, Capital City",07-07-1974,08-05-2010,10:14,20:30,02:16,2,None,25/30,84.57,59531,2601
EMP0026,Gil Langsdon,80-623-3209,"101 Pine St, Ogdenville",09-07-1987,13-09-2011,08:59,16:10,01:26,5,None,27/30,97.23,90494,4016
EMP0027,Kim Linkleter,24-536-3741,"789 Maple St, Capital City",12-10-1981,11-01-2011,09:43,18:10,02:52,0,Full Day,20/30,93.59,46407,2081
EMP0028,Izak Howel,71-343-3514,"789 Maple St, Capital City",08-09-1984,15-12-2017,08:47,19:54,00:30,3,None,20/30,70.24,86605,1556
EMP0029,Domenico Sewell,21-808-7452,"101 Pine St, Ogdenville",03-12-1997,02-11-2005,10:49,20:42,02:38,0,None,30/30,93.1,56268,4755
EMP0030,Elroy Wattins,50-738-4705,"123 Elm St, Springfield",17-04-1984,09-07-2019,10:22,19:48,01:48,0,Full Day,23/30,85.05,52994,1423
EMP0031,Kleon Collelton,56-095-1745,"101 Pine St, Ogdenville",01-06-1994,11-08-2022,07:39,19:18,01:28,0,Full Day,17/30,88.64,99788,4153
EMP0032,Sidonnie Fishpond,55-925-3642,"789 Maple St, Capital City",12-02-1981,06-01-2024,10:44,16:02,02:17,0,Full Day,24/30,67.18,94631,1200
EMP0033,Portia Little,50-695-9478,"456 Oak St, Shelbyville",21-07-1977,04-12-2017,08:31,19:59,01:13,5,Half Day,19/30,95.47,47233,3220
